 # X T 
   0.00000000      -4.7064794152769011E-006
   9.99999978E-03  -4.7274182534279277E-006
   1.99999996E-02  -3.6649150183049966E-006
   2.99999993E-02   6.5780382008384847E-006
   3.99999991E-02   3.2483522803554199E-005
   5.00000007E-02   8.0111437314070826E-005
   5.99999987E-02   1.6185161849849728E-004
   7.00000003E-02   2.9483283869445316E-004
   7.99999982E-02   4.9572298355275300E-004
   9.00000036E-02   7.8595023272824975E-004
  0.100000001       1.1901859366067508E-003
  0.109999999       1.7289888217376908E-003
  0.119999997       2.4115454049049518E-003
  0.129999995       3.2355482590219276E-003
  0.140000001       4.1881690521234447E-003
  0.150000006       5.2466726719430454E-003
  0.159999996       6.3802254977925344E-003
  0.170000002       7.5538490773346036E-003
  0.180000007       8.7325758433238736E-003
  0.189999998       9.8853801493640793E-003
  0.200000003       1.0987170967290693E-002
  0.209999993       1.2019575999709778E-002
  0.219999999       1.2970833995164433E-002
  0.230000004       1.3834708741689138E-002
  0.239999995       1.4609643961547340E-002
  0.250000000       1.5297240058495360E-002
  0.259999990       1.5901540526406795E-002
  0.270000011       1.6427792477104037E-002
  0.280000001       1.6882135264970691E-002
  0.289999992       1.7270760684829557E-002
  0.300000012       1.7599942845797405E-002
  0.310000002       1.7875474647874826E-002
  0.319999993       1.8102909592174331E-002
  0.330000013       1.8287141449840463E-002
  0.340000004       1.8432756638571017E-002
  0.349999994       1.8543671722219233E-002
  0.360000014       1.8623537757840508E-002
  0.370000005       1.8675388890311579E-002
  0.379999995       1.8702073469927968E-002
  0.389999986       1.8705887713612028E-002
  0.400000006       1.8689028769530602E-002
  0.409999996       1.8653196007680381E-002
  0.419999987       1.8600072767900138E-002
  0.430000007       1.8530880050747378E-002
  0.439999998       1.8446900576153009E-002
  0.449999988       1.8348968888855746E-002
  0.460000008       1.8238055735819936E-002
  0.469999999       1.8114676784898191E-002
  0.479999989       1.7979558007721858E-002
  0.490000010       1.7832943571305319E-002
  0.500000000       1.7675364044343791E-002
  0.509999990       1.7506823454766174E-002
  0.519999981       1.7327691548915253E-002
  0.529999971       1.7137751231452066E-002
  0.540000021       1.6937233362311559E-002
  0.550000012       1.6725709500628769E-002
  0.560000002       1.6503282156885454E-002
  0.569999993       1.6269314660740001E-002
  0.579999983       1.6023780808369852E-002
  0.589999974       1.5765834109874845E-002
  0.600000024       1.5495308847791604E-002
  0.610000014       1.5211143831747501E-002
  0.620000005       1.4913014668291442E-002
  0.629999995       1.4599639329627186E-002
  0.639999986       1.4270512781181743E-002
  0.649999976       1.3924130611660524E-002
  0.660000026       1.3559793070759673E-002
  0.670000017       1.3175790571211640E-002
  0.680000007       1.2771243268927238E-002
  0.689999998       1.2344297222228599E-002
  0.699999988       1.1893978350773399E-002
  0.709999979       1.1418426504876103E-002
  0.720000029       1.0916797820652214E-002
  0.730000019       1.0387486665316029E-002
  0.740000010       9.8302100901617173E-003
  0.750000000       9.2440850394734028E-003
  0.759999990       8.6300763183431752E-003
  0.769999981       7.9888432401290128E-003
  0.779999971       7.3235766692941670E-003
  0.790000021       6.6377076532453585E-003
  0.800000012       5.9378743813078907E-003
  0.810000002       5.2316151678969873E-003
  0.819999993       4.5299856703145194E-003
  0.829999983       3.8449803099549411E-003
  0.839999974       3.1908852730185323E-003
  0.850000024       2.5809580321755664E-003
  0.860000014       2.0278026969035930E-003
  0.870000005       1.5406395106775668E-003
  0.879999995       1.1281640038113521E-003
  0.889999986       7.9372354413749014E-004
  0.899999976       5.3766557612738766E-004
  0.910000026       3.4558432990130735E-004
  0.920000017       2.0730474208660268E-004
  0.930000007       1.0644694736308073E-004
  0.939999998       4.8078915841611129E-005
  0.949999988       1.6844334096343405E-005
  0.959999979      -1.1911174642021624E-006
  0.970000029      -3.5455557930974859E-007
  0.980000019      -7.2429307001541351E-007
  0.990000010      -5.2451816974694125E-007
   1.00000000      -6.7976569661527511E-007
